Years,Months,Dates,Hours,TotalHeating
2014,6,6,18,163.5
2014,6,6,19,166.3
2014,6,6,20,164.3
2014,6,6,21,166.3
2014,6,6,22,160.6
2014,6,6,23,163.2
2014,6,7,0,160.4
2014,6,7,1,159
2014,6,7,2,160.4
2014,6,7,3,161.5
2014,6,7,4,164.7
2014,6,7,5,167.3
2014,6,7,6,167.9
2014,6,7,7,167.1
2014,6,7,8,171.6
2014,6,7,9,176.6
2014,6,7,10,177.3
2014,6,7,11,172.7
2014,6,7,12,168.1
2014,6,7,13,162.4
2014,6,7,14,156
2014,6,7,15,151.3
2014,6,7,16,149.4
2014,6,7,17,147.5
2014,6,7,18,147.4
2014,6,7,19,147.9
2014,6,7,20,147.6
2014,6,7,21,146.5
2014,6,7,22,144.7
2014,6,7,23,146.6
2014,6,8,0,142.6
2014,6,8,1,140.5
2014,6,8,2,136.7
2014,6,8,3,137.6
2014,6,8,4,137.6
2014,6,8,5,138.6
2014,6,8,6,137.2
2014,6,8,7,136.7
2014,6,8,8,138.7
2014,6,8,9,148.5
2014,6,8,10,153.5
2014,6,8,11,156.2
2014,6,8,12,155.4
2014,6,8,13,151.8
2014,6,8,14,148.7
2014,6,8,15,144.8
2014,6,8,16,142.7
2014,6,8,17,140.2
2014,6,8,18,142
2014,6,8,19,142.9
2014,6,8,20,141.7
2014,6,8,21,138.6
2014,6,8,22,137.8
2014,6,8,23,137.2
2014,6,9,0,137.3
2014,6,9,1,135.9
2014,6,9,2,134.7
2014,6,9,3,134.3
2014,6,9,4,137
2014,6,9,5,140.1
2014,6,9,6,143.5
2014,6,9,7,142.9
2014,6,9,8,146.3
2014,6,9,9,149.4
2014,6,9,10,155.5
2014,6,9,11,154.8
2014,6,9,12,150.1
2014,6,9,13,147.8
2014,6,9,14,142.7
2014,6,9,15,138.9
2014,6,9,16,137
2014,6,9,17,137.1
2014,6,9,18,138.9
2014,6,9,19,144.9
2014,6,9,20,146.2
2014,6,9,21,145.5
2014,6,9,22,143.2
2014,6,9,23,140.6
2014,6,10,0,135.7
2014,6,10,1,130.7
2014,6,10,2,127
2014,6,10,3,125.9
2014,6,10,4,127
2014,6,10,5,126.8
2014,6,10,6,132.2
2014,6,10,7,152.7
2014,6,10,8,155.5
2014,6,10,9,145.1
2014,6,10,10,142.3
2014,6,10,11,138.6
2014,6,10,12,135.8
2014,6,10,13,133.5
2014,6,10,14,130.8
2014,6,10,15,145.4
2014,6,10,16,126
2014,6,10,17,128.2
2014,6,10,18,132.1
2014,6,10,19,138.2
2014,6,10,20,138.8
2014,6,10,21,133.7
2014,6,10,22,134.2
2014,6,10,23,130.2
2014,6,11,0,136
2014,6,11,1,122.3
2014,6,11,2,120.2
2014,6,11,3,119.9
2014,6,11,4,118.5
2014,6,11,5,117.3
2014,6,11,6,122.3
2014,6,11,7,140.6
2014,6,11,8,147.4
2014,6,11,9,139.4
2014,6,11,10,137.7
2014,6,11,11,135.1
2014,6,11,12,133.4
2014,6,11,13,131.6
2014,6,11,14,129.3
2014,6,11,15,128
2014,6,11,16,128.3
2014,6,11,17,128.7
2014,6,11,18,131.5
2014,6,11,19,137
2014,6,11,20,140.6
2014,6,11,21,136.1
2014,6,11,22,135.4
2014,6,11,23,136.7
2014,6,12,0,135.1
2014,6,12,1,129.8
2014,6,12,2,128.1
2014,6,12,3,128.1
2014,6,12,4,127.5
2014,6,12,5,130
2014,6,12,6,137.4
2014,6,12,7,157
2014,6,12,8,160.9
2014,6,12,9,151.4
2014,6,12,10,146.6
2014,6,12,11,139.6
2014,6,12,12,139.6
2014,6,12,13,135.3
2014,6,12,14,133.8
2014,6,12,15,131.8
2014,6,12,16,132
2014,6,12,17,129.8
2014,6,12,18,134.3
2014,6,12,19,138.6
2014,6,12,20,142.3
2014,6,12,21,138.6
2014,6,12,22,139.7
2014,6,12,23,138.4
2014,6,13,0,130
2014,6,13,1,126.7
2014,6,13,2,126.5
2014,6,13,3,126.8
2014,6,13,4,129.2
2014,6,13,5,131.9
2014,6,13,6,141.1
2014,6,13,7,161.9
2014,6,13,8,170.6
2014,6,13,9,164.7
2014,6,13,10,161
2014,6,13,11,156.8
2014,6,13,12,152.6
2014,6,13,13,151.2
2014,6,13,14,146.6
2014,6,13,15,143.5
2014,6,13,16,139.7
2014,6,13,17,139.6
2014,6,13,18,137.5
2014,6,13,19,141.4
2014,6,13,20,139
2014,6,13,21,136.7
2014,6,13,22,134.1
2014,6,13,23,136.8
2014,6,14,0,136.1
2014,6,14,1,134.9
2014,6,14,2,133.2
2014,6,14,3,135.1
2014,6,14,4,133.7
2014,6,14,5,136.6
2014,6,14,6,136.4
2014,6,14,7,138.6
2014,6,14,8,143.4
2014,6,14,9,151.9
2014,6,14,10,155.6
2014,6,14,11,157
2014,6,14,12,155.3
2014,6,14,13,153.4
2014,6,14,14,150
2014,6,14,15,144
2014,6,14,16,140.9
2014,6,14,17,139.2
2014,6,14,18,139.9
2014,6,14,19,141.5
2014,6,14,20,141.3
2014,6,14,21,139.3
2014,6,14,22,140.5
2014,6,14,23,141.9
2014,6,15,0,141.3
2014,6,15,1,138.4
2014,6,15,2,140.5
2014,6,15,3,139.3
2014,6,15,4,142.5
2014,6,15,5,144.5
2014,6,15,6,146.3
2014,6,15,7,143.2
2014,6,15,8,145
2014,6,15,9,150.4
2014,6,15,10,155.3
2014,6,15,11,153.3
2014,6,15,12,153.7
2014,6,15,13,150.4
2014,6,15,14,147.7
