id,bu_code,bu_naam,adam_total_household,area_ha,ElecConFeb11_11am_168440kwh,GasConFeb15_12am_110083kwh,PM10Feb11_10am_0.0001019991Mg,NOXConFeb11_10am_0.021419819Mg,ElecConFeb11_11am_187141kwh
65,BU03630531,Indische Buurt West,7095,48.6639708817,55.7629494996,36.4435571703,3.37673394817369E-08,7.09114403892349E-06,61.954014084
66,BU03630532,Indische Buurt Oost,5250,131.0301703926,15.3245905092,10.015298605,9.2798292555337E-09,1.9487648987921E-06,17.0259985305
67,BU03630533,Oostelijk Havengebied,9095,366.4148298634,9.4935915274,6.2044825226,5.7488588907553E-09,1.20726083486204E-06,10.5476146522
68,BU03630534,Zeeburgereiland/Nieuwe Diep,620,339.0146036129,0.6994781678,0.4571399617,4.23570075926925E-10,8.89497504119352E-08,0.7771375196
69,BU03630535,IJburg West,5395,130.4930595577,15.8126593873,10.3342732328,9.57538011228187E-09,2.01083060275915E-06,17.5682551081
70,BU03630551,IJburg Zuid,2616,107.2506609879,9.3290762575,6.0969645076,5.64923641710642E-09,1.18634010728917E-06,10.3648341244
71,BU03630555,Frankendael,5780,170.7059333076,12.9503081631,8.4635999378,7.8420789441979E-09,1.64683721641714E-06,14.3881122059
72,BU03630556,Middenmeer,7750,302.5035065567,9.7987836779,6.4039391096,5.93366846500246E-09,1.24607086049251E-06,10.8866906689
73,BU03630557,Betondorp,1970,112.3228029182,6.7080945399,4.3840368751,4.06209692344711E-09,0.000000853,7.4528587051
74,BU03630558,De Omval,1651,316.0624882259,1.9979057617,1.3057199,1.20983489418561E-09,2.54065426227195E-07,2.219722644
75,BU03630660,Volewijck,5115,131.2655005966,14.9037624509,9.740268831,0.000000009,1.89524993225627E-06,16.5584481645
76,BU03630661,Ijplein/Vogelbuurt,4350,146.5931995312,11.3494891497,7.4173938142,6.87270053867338E-09,1.44326767237551E-06,12.6095627462
77,BU03630662,Tuindorp Nieuwendam,1855,46.7300411152,15.1826867482,9.9225582124,9.19389921573443E-09,1.93071958344185E-06,16.8683399474
78,BU03630663,Tuindorp Buiksloot,930,16.8287173145,21.1364873544,13.8136305951,1.2799232292255E-08,2.68783982288889E-06,23.4831594632
79,BU03630664,Nieuwendammerdijk/Buiksloterdijk,665,45.3465219505,5.6089109323,3.665671706,3.3964846062488E-09,7.13262043695297E-07,6.2316385703
80,BU03630665,Tuindorp Oostzaan,5110,172.8273355698,11.3086131139,7.3906795145,6.84794799254261E-09,1.43806963567385E-06,12.5641484608
81,BU03630666,Oostzanerwerf,3875,324.3431505165,4.5694913209,2.9863649554,2.76706246848404E-09,5.81083343546563E-07,5.0768177113
82,BU03630667,Kadoelen,1250,151.2970887383,3.1599508124,2.0651678063,1.9135130545799E-09,4.01837897170588E-07,3.5107833946
83,BU03630668,Nieuwendam-Noord,5635,197.1604084503,10.9313825274,7.1441426191,6.61951543307627E-09,1.39009877959761E-06,12.1450359627
84,BU03630669,Buikslotermeer,6285,344.6018748581,6.9757117584,4.5589365798,4.22415294004578E-09,8.87072461142739E-07,7.7501880443
85,BU03630670,Banne Buiksloot,5975,182.9558854244,12.4908618721,8.1633314383,7.56386053895289E-09,1.58841132867615E-06,13.8776560295
86,BU03630671,Buiksloterham,845,387.0365279194,0.8350368377,0.5457335562,5.05657836071559E-10,1.06188186722057E-07,0.9277465497
87,BU03630672,Nieuwendammerham,70,116.735551223,0.2293484358,0.1498893604,1.38882296590066E-10,2.91652935852201E-08,0.2548117764
88,BU03630673,Waterland,915,2636.8611896027,0.1327194908,0.0867380652,8.03684909435302E-11,1.6877389637988E-08,0.1474546321
89,BU03630792,Amstel III/Bullewijk,125,533.1454139893,0.0896737261,0.0586057516,5.43020622187103E-11,1.14034374846654E-08,0.0996297244
90,BU03630793,"Bijlmer-Centrum (D, F, H)",12385,312.7266860825,15.1471856756,9.8993566892,9.17240148684746E-09,1.92620505862624E-06,16.828897379
91,BU03630794,"Bijlmer-Oost (E, G, K)",13475,407.3481282684,12.6521382737,8.2687327095,7.66152171097856E-09,1.60892018274855E-06,14.0568380948
92,BU03630795,Nellestein,1770,296.7351488586,2.2814195292,1.4910087036,1.38151709036335E-09,2.90118701394863E-07,2.5347134417
93,BU03630796,Holendrecht/Reigersbos,8945,268.8746978123,12.7242235477,8.3158436286,7.70517305901569E-09,1.6180869693884E-06,14.1369266144
94,BU03630797,Gein,5490,191.3353293259,10.9743310545,7.1722113837,6.64552297944834E-09,1.39556036645207E-06,12.192752837
95,BU03630798,Driemond,630,201.196510215,1.1976253684,0.7827012196,7.25223876259557E-10,,
