Profiles,Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
Profile3,08/12/15,23998.2183130295,23715.2638601439,23650.8514643651,24304.177192979,25794.8640667178,28300.0461739733,31081.2814059952,32523.6589828998,33124.0745292669,33280.5046333012,32905.5324721601,33025.1554928922,32951.5413262878,32640.9815609256,32601.874034917,32767.5059097769,31398.7424994766,30432.556562794,29668.8095842735,29919.5578392697,29174.2144024003,27727.2359400829,25937.4915145138,24525.0196927921
Profile3,08/16/15,22608.7509183717,22226.8774291115,21989.9318303536,21953.1247470514,21693.1747212297,22098.0526375538,23390.9014385433,24773.4675050819,25847.7742489647,26473.494665102,26876.0721387197,26692.0367222087,26461.99245157,26172.1366705653,26300.9614621229,27361.4655497673,27704.231513019,27439.6806017845,27437.3801590781,27913.5717993002,27131.4212791286,25475.10253053,24090.236021285,23089.5434440066
Profile4,02/11/15,16963.0984658418,16548.5217212592,16483.9318661249,16510.969479902,17000.650707199,18924.8275543382,22357.1024143797,24234.7144822361,25086.3993162158,25269.6542540386,25301.1981367785,25021.8094610815,25011.2948335015,24880.6130335787,24680.8351095588,24668.8183923245,25160.0017092757,25218.5832057929,24482.5592751932,23327.4523310479,21944.0277594513,20338.2939190205,18954.8693474239,17769.720610193
Profile4,02/15/15,15916.1419768051,15423.4565701996,15250.7162599568,15168.1013289711,15252.2183496111,15672.8034528109,16381.7897696335,17152.3617622818,18155.7576513442,18652.9493269126,18822.6854578468,18855.7314302411,18490.7236442498,18074.6448100128,18059.62391347,18586.8573821241,19869.6419468836,21422.8026494144,21362.719063243,20770.8957394546,19752.4789538493,18696.5099268869,17397.2023759303,16453.8900730392
Profile4,08/12/15,15669.7992735024,15485.0422460253,15442.9837357053,15869.5771975223,16842.931293499,18478.7069270155,20294.7333190462,21236.543532283,21628.5889320514,21730.7310285428,21485.8904148943,21563.9990769172,21515.93220798,21313.1501046516,21287.6145805287,21395.7650356372,20502.0216913376,19871.1440365378,19372.4502713152,19536.1780436323,19049.5009956439,18104.6866030985,16936.0608520647,16013.7778043337
Profile4,08/16/15,14762.5371223142,14513.1902397028,14358.4750053115,14334.4415708429,14164.7054399087,14429.0732190629,15273.2476047711,16176.0034869964,16877.4793555476,17286.0477415132,17548.913431013,17428.7462586702,17278.5372932417,17089.2739968018,17173.3910174418,17865.8543480672,18089.6657065557,17916.9253963129,17915.4233066586,18226.3558650956,17715.6453826387,16634.1408315534,15729.8828596738,15076.4738600597
Profile5,02/11/15,3628.8348794503,3540.1464506247,3526.3290504815,3532.1130784484,3636.8682516266,4048.498241937,4782.7484588452,5184.4170676571,5366.6139486142,5405.8168048342,5412.5648374623,5352.796548471,5350.5472042617,5322.5910690884,5279.8535291108,5277.2828500144,5382.3593580796,5394.8914186745,5237.4373240203,4990.3307958792,4694.3813649066,4350.8743706506,4054.924939678,3801.3917137959
Profile5,02/15/15,3404.8644631768,3299.4666202246,3262.5131082139,3244.8396894261,3262.8344431009,3352.8082114748,3504.4782781622,3669.3230752186,3883.9747797676,3990.336627381,4026.6474696176,4033.7168371327,3955.6324595797,3866.622695867,3863.4093469965,3976.1978923509,4250.6178858912,4582.8781591004,4570.0247636184,4443.4188181209,4225.5537647013,3999.6553391055,3721.7006618076,3519.9023527405
Profile5,08/12/15,3352.1655417007,3312.6413505936,3303.6439737562,3394.9030816783,3603.1280884864,3953.0617804833,4341.5556589262,4543.0326331062,4626.9010386262,4648.7518109455,4596.3742243565,4613.083638483,4602.8009220974,4559.4207123458,4553.9580192659,4577.0941311335,4385.899873339,4250.9392207782,4144.2560382778,4179.2815409662,4075.1690375621,3873.049393608,3623.0508514834,3425.751230835
Profile5,08/16/15,3158.0792699228,3104.7376786725,3071.6401853064,3066.4988271136,3030.1879848771,3086.7429249978,3267.3331315196,3460.4553986364,3610.5187908885,3697.921880166,3754.1554853996,3728.4486944357,3696.3152057307,3655.8270099625,3673.8217636373,3821.9571465671,3869.8360447375,3832.8825327268,3832.5611978397,3899.077519459,3789.8236578621,3558.4625391865,3365.0189371827,3225.2382613161
