Profiles,Selected_Days,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
Profile3,08/12/15,3631.5712664168,3535.6881966764,3463.7758943711,3523.7028129589,3496.7356995944,3562.6553100409,3802.3629843918,4560.4385045267,4722.2411847136,4452.5700510688,4302.7527545994,4149.9391122007,4000.1218157314,3979.1473942257,3856.2972111208,3808.3556762506,3763.4104873098,3718.465298369,3835.3227896151,4042.0706587428,4101.9975773305,4060.0487343191,4101.9975773305,4090.012193613
Profile3,08/16/15,3511.7174292413,3478.7576240181,3427.8197432185,3355.9074409132,3391.8635920658,3289.9878304667,3364.8964787014,3448.7941647242,3586.626077476,3808.3556762506,4048.0633506015,3979.1473942257,4033.0816209546,4003.1181616607,4015.1035453783,3838.3191355445,3871.2789407677,3832.3264436857,3871.2789407677,4093.0085395423,4113.9829610481,3916.2241297085,3865.286248909,3658.5383797813
Profile4,02/11/15,8536.6798239291,8569.0445779449,8677.5616943508,8847.0007006687,9111.6301599743,9421.9510367139,10000.7089908786,10764.1364238392,11076.3611096386,11110.6296727141,10876.4611583646,10590.8897994018,10291.9917770207,10318.6451038572,10192.9937059136,10071.1499260894,9939.7871009665,9970.2480459225,9977.8632821616,9956.9213825043,9751.310004051,9410.5281823554,9128.764441512,9054.5158881817
Profile4,02/15/15,10743.194524182,10665.1383527321,10644.1964530748,10783.1745144368,10855.5192587073,11023.0544559655,11262.9343974943,11459.0267306488,11792.1933161054,12199.6084548924,12551.8131309466,12603.2159755599,12458.5264870187,12412.8350695847,12224.3579726692,12009.2275489172,11839.7885425993,11839.7885425993,11864.538060376,11988.2856492599,11946.4018499454,11681.7723906398,11415.2391222745,11162.0325173274
Profile4,08/12/15,2307.4165804197,2246.4946905077,2200.8032730736,2238.8794542687,2221.7451727309,2263.6289720454,2415.9336968256,2897.5973889429,3000.4030781696,2829.0602627919,2733.8698098042,2636.7755477569,2541.5850947693,2528.258431351,2450.2022599012,2419.7413149451,2391.1841790488,2362.6270431525,2436.8755964829,2568.2384216058,2606.3146028008,2579.6612759643,2606.3146028008,2598.6993665618
Profile4,08/16/15,2231.2642180296,2210.3223183724,2177.9575643566,2132.2661469225,2155.1118556396,2090.382347608,2137.9775741018,2191.2842277748,2278.8594445234,2419.7413149451,2572.0460397253,2528.258431351,2562.5269944265,2543.488903829,2551.104140068,2438.7794055426,2459.7213051999,2434.9717874231,2459.7213051999,2600.6031756216,2613.9298390398,2488.2784410962,2455.9136870804,2324.5508619575
Profile5,02/11/15,1737.2983914299,1743.8849375169,1765.9692391029,1800.451745088,1854.3064454468,1917.4597991049,2035.2427408967,2190.6077397735,2254.1485373191,2261.1225272936,2213.4669291344,2155.3503460134,2094.5216556801,2099.9458701048,2074.3745735315,2049.5781647333,2022.8445364976,2029.0436386972,2030.5934142471,2026.3315314849,1984.4875916378,1915.1351357801,1857.793440434,1842.6831288226
Profile5,02/15/15,2186.3458570113,2170.4606576249,2166.1987748627,2194.4821786482,2209.2050463722,2243.3001084699,2292.1180382915,2332.0247587012,2399.827439009,2482.7404309283,2554.4175501108,2564.8785350726,2535.4327996247,2526.1341463253,2487.7772014655,2443.996042181,2409.5135361959,2409.5135361959,2414.550306733,2439.7341594188,2431.2103938944,2377.3556935356,2323.1135492893,2271.5835122554
Profile5,08/12/15,469.5819916175,457.1837872184,447.885133919,455.6340116685,452.1470166812,460.6707822056,491.6662932035,589.6895967342,610.6115666578,575.7416167852,556.3694224115,536.6097841504,517.2375897767,514.5254825644,498.640283178,492.4411809784,486.6295226663,480.8178643542,495.9281759657,522.6618042014,530.4106819508,524.9864675262,530.4106819508,528.8609064009
Profile5,08/16/15,454.0842361186,449.8223533564,443.2358072693,433.93715397,438.5864806197,425.4133884456,435.0994856324,445.9479144817,463.7703333054,492.4411809784,523.4366919763,514.5254825644,521.4994725389,517.6250336642,519.1748092141,496.3156198532,500.5775026154,495.5407320782,500.5775026154,529.2483502884,531.9604575007,506.3891609275,499.8026148404,473.0689866048
